activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1753356640.8298433,3
aggregation,,False,,,1,GossipAvg,1753356663.068429,
aggregation,,True,,,1,GossipAvg,1753356663.06845,
aggregation,,False,,,1,GossipAvg,1753356663.0684636,
model_update,,,,19.151614293248798,1,,1753356663.279103,
local_training,,,{},,2,,1753356663.928977,3
aggregation,,False,,,2,GossipAvg,1753356670.4054248,
aggregation,,True,,,2,GossipAvg,1753356670.4054418,
aggregation,,False,,,2,GossipAvg,1753356670.4054568,
model_update,,,,13.342053902253744,2,,1753356670.6052222,
local_training,,,{},,3,,1753356671.2397847,3
aggregation,,False,,,3,GossipAvg,1753356677.8446825,
aggregation,,True,,,3,GossipAvg,1753356677.8447013,
aggregation,,False,,,3,GossipAvg,1753356677.8447156,
model_update,,,,12.538062186022021,3,,1753356678.0419912,
local_training,,,{},,4,,1753356678.7112389,3
aggregation,,False,,,4,GossipAvg,1753356685.3506854,
aggregation,,True,,,4,GossipAvg,1753356685.350703,
aggregation,,False,,,4,GossipAvg,1753356685.350717,
model_update,,,,12.31176879600547,4,,1753356685.5469034,
local_training,,,{},,5,,1753356686.2004995,3
aggregation,,False,,,5,GossipAvg,1753356692.644502,
aggregation,,True,,,5,GossipAvg,1753356692.6445181,
aggregation,,False,,,5,GossipAvg,1753356692.644543,
model_update,,,,12.213268633456153,5,,1753356692.8412976,
local_training,,,{},,6,,1753356693.5313065,3
aggregation,,False,,,6,GossipAvg,1753356700.107864,
aggregation,,True,,,6,GossipAvg,1753356700.107886,
aggregation,,False,,,6,GossipAvg,1753356700.1079023,
model_update,,,,12.188513361012598,6,,1753356700.3013628,
local_training,,,{},,7,,1753356700.992244,3
aggregation,,False,,,7,GossipAvg,1753356707.490629,
aggregation,,True,,,7,GossipAvg,1753356707.4906452,
aggregation,,False,,,7,GossipAvg,1753356707.4906604,
model_update,,,,12.157720031487482,7,,1753356707.685844,
local_training,,,{},,8,,1753356708.3506875,3
aggregation,,False,,,8,GossipAvg,1753356715.019634,
aggregation,,True,,,8,GossipAvg,1753356715.0196512,
aggregation,,False,,,8,GossipAvg,1753356715.0196655,
model_update,,,,12.165860710358402,8,,1753356715.2110846,
local_training,,,{},,9,,1753356715.8835678,3
aggregation,,False,,,9,GossipAvg,1753356722.619149,
aggregation,,True,,,9,GossipAvg,1753356722.6191657,
aggregation,,False,,,9,GossipAvg,1753356722.6191797,
model_update,,,,12.171199239559204,9,,1753356722.815994,
local_training,,,{},,10,,1753356723.5092213,3
aggregation,,False,,,10,GossipAvg,1753356729.9143033,
aggregation,,True,,,10,GossipAvg,1753356729.9143207,
aggregation,,False,,,10,GossipAvg,1753356729.9143333,
model_update,,,,12.171249817615152,10,,1753356730.110447,
