node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,national,SOC2,Rochester,USA,radiology,1964,private,mayo_clinic,tier1_hospital,north_america,3629,America/Chicago
1,international,SOC2,Baltimore,USA,oncology,1978,public,johns_hopkins,tier2_hospital,europe,1570,America/New_York
2,international,SOC2,Palo Alto,USA,cardiology,1982,public,stanford_med,research_center,asia_pacific,2444,America/Los_Angeles
3,local,SOC2,Boston,USA,neurology,1966,mixed,mass_general,mobile_unit,south_america,3435,America/New_York
4,national,ISO27001,Los Angeles,USA,pathology,2019,private,ucla_health,edge_device,africa,2396,America/Los_Angeles
5,international,HIPAA_compliant,London,UK,radiology,1969,research_grant,mayo_clinic,tier1_hospital,north_america,4667,Europe/London
6,regional,ISO27001,Paris,France,oncology,2001,public,johns_hopkins,tier2_hospital,europe,723,Europe/Paris
7,national,SOC2,Tokyo,Japan,cardiology,1990,private,stanford_med,research_center,asia_pacific,638,Asia/Tokyo
8,international,ISO27001,Singapore,Singapore,neurology,1999,mixed,mass_general,mobile_unit,south_america,4865,Asia/Singapore
9,international,ISO27001,Sydney,Australia,pathology,1990,research_grant,ucla_health,edge_device,africa,4745,Australia/Sydney
