node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,GDPR,8,256,tier1_hospital,0.96,standard,20000
1,clinic_001,5000,tier_2,64,PIPEDA,8,64,tier2_hospital,0.963,standard,5000
2,research_center_002,10000,tier_3,256,local,16,512,research_center,0.982,high,50000
3,mobile_unit_003,500,tier_1,16,GDPR,2,16,mobile_unit,0.822,high,1000
4,edge_device_004,100,tier_2,8,HIPAA,0,32,edge_device,0.714,critical,2000
5,hospital_005,2000,tier_1,64,HIPAA,16,256,tier1_hospital,0.995,standard,10000
6,clinic_006,2000,tier_2,64,GDPR,8,128,tier2_hospital,0.948,standard,20000
7,research_center_007,20000,tier_3,256,PIPEDA,8,1024,research_center,0.988,standard,50000
8,mobile_unit_008,500,tier_1,16,PIPEDA,1,32,mobile_unit,0.797,high,5000
9,edge_device_009,50,tier_2,8,GDPR,1,32,edge_device,0.861,critical,1000
