accuracy,active_nodes,actual_client_rate,actual_data_rate,aggregator_node,avg_bandwidth_mbps,batches_processed,client_sampling_rate,communication_savings_percent,computation_type,current_epoch,data_sampling_rates,epochs_completed,event_type,loss,metrics,network_density,node_id,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_sampled_clients,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,resource_efficiency_score,round_completion_time,round_num,sampled_clients,sampled_clients_count,sampled_data_points,samples_processed,source_nodes,step_name,strategy_name,target_nodes,throughput_samples_per_sec,time_per_client,time_taken,timestamp,topology_type,total_clients,total_clients_involved,total_communication_bytes,total_computation_time,total_cpu_cores,total_data_points,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,,,3622.5,,,,,,,,NetworkStructureEvent,,,0.1,,"{'tier1_hospital': 4, 'tier2_hospital': 4, 'research_center': 4, 'mobile_unit': 4, 'edge_device': 4}",,20,,,,,,5,,,,,,0,,,,,,network_structure,,,,,,1753353460.678953,star,,,,,926,,19,,123,4064,
,,,,,,,,,,,,,InitialStateEvent,,,,,,,20,,,,,,,,,,,,0,,,,,,initial_state,,,,,,1753353460.6792126,star,,,,,,,,,,,
0.0992,,,,,,,,,,,,,EvaluationEvent,2.4313721557617187,"{'loss': 2.4313721557617187, 'accuracy': 0.0992}",,,,,,,,,,,,,,,,,0,,,,,,evaluation,,,,,,1753353465.283299,,,,,,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,,,,,,,,,,LocalTrainingEvent,,{},,,,20,,,,,,,,,,,,,1,,,,,,local_training,,,,,,1753353465.2834914,,,,,,,,,3,,,
,,0.6,,,,,0.6,,,,"{4: 1.0, 15: 1.0, 12: 1.0, 13: 1.0, 18: 1.0, 10: 1.0, 19: 1.0, 5: 1.0, 9: 1.0, 7: 1.0, 17: 1.0, 11: 1.0}",,SamplingEvent,,,,,,,,,12,,,,,,,,,,1,"[4, 15, 12, 13, 18, 10, 19, 5, 9, 7, 17, 11]",,,,,resource_sampling,,,,,,1753353465.2837846,,20,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,1,,,,0,,resource_computation_time,,,,,16.72865867614746,1753353482.0122387,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,19,1,,,,"{0: {'norm': 3.2256479263305664, 'mean': 0.011642846278846264, 'std': 0.18971620500087738}, 1: {'norm': 3.2256479263305664, 'mean': 0.011642846278846264, 'std': 0.18971620500087738}, 2: {'norm': 3.2256479263305664, 'mean': 0.011642846278846264, 'std': 0.18971620500087738}, 3: {'norm': 3.2256479263305664, 'mean': 0.011642846278846264, 'std': 0.18971620500087738}, 4: {'norm': 3.2241976261138916, 'mean': 0.013117260299623013, 'std': 0.1895342916250229}, 5: {'norm': 3.2348945140838623, 'mean': 0.013311122544109821, 'std': 0.19015264511108398}, 6: {'norm': 3.2256479263305664, 'mean': 0.011642846278846264, 'std': 0.18971620500087738}, 7: {'norm': 3.246920108795166, 'mean': 0.01312013529241085, 'std': 0.19087621569633484}, 8: {'norm': 3.2256479263305664, 'mean': 0.011642846278846264, 'std': 0.18971620500087738}, 9: {'norm': 3.231210947036743, 'mean': 0.012139866128563881, 'std': 0.19001351296901703}, 10: {'norm': 3.230760335922241, 'mean': 0.012458519078791142, 'std': 0.18996627628803253}, 11: {'norm': 3.2226696014404297, 'mean': 0.01220982987433672, 'std': 0.1895046979188919}, 12: {'norm': 3.2366576194763184, 'mean': 0.012060408480465412, 'std': 0.19034016132354736}, 13: {'norm': 3.22503399848938, 'mean': 0.01029538456350565, 'std': 0.18975786864757538}, 14: {'norm': 3.2256479263305664, 'mean': 0.011642846278846264, 'std': 0.18971620500087738}, 15: {'norm': 3.241055965423584, 'mean': 0.013238949701189995, 'std': 0.19052164256572723}, 16: {'norm': 3.2256479263305664, 'mean': 0.011642846278846264, 'std': 0.18971620500087738}, 17: {'norm': 3.2522530555725098, 'mean': 0.012468008324503899, 'std': 0.19123485684394836}, 18: {'norm': 3.261847496032715, 'mean': 0.012918555177748203, 'std': 0.19177155196666718}, 19: {'norm': 3.2294907569885254, 'mean': 0.012283820658922195, 'std': 0.18990269303321838}}",,,,1,,,,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",parameter_transfer,,0,,,,1753353482.2554588,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,20,,,,,,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,1,,,,,,aggregation,FedAvg,,,,,1753353482.2557526,,,,,,,,,,,,
,,,,,,,,,,,,,AggregationCostEvent,,,,,,,,,,,,,,,,,,,1,,,,,,resource_aggregation_cost,,,,,,1753353482.4914277,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,20,,4.958234193177401,,,,,1,,,,,,model_update,,,,,,1753353482.55719,,,,,,,,,,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
0.4435,,,,,,,,,,,,,EvaluationEvent,1.7944756605148315,"{'loss': 1.7944756605148315, 'accuracy': 0.4435}",,,,,,,,,,,,,,,,,1,,,,,,evaluation,,,,,,1753353483.080123,,,,,,,,,,,,
,,,,,,,,40.0,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.024920294647713347,17.79673981666565,1,,12,,,,resource_resource_summary,,,,1.4830616513888042,,1753353483.080194,,,20,101301600,0,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,,,,,,,,,,LocalTrainingEvent,,{},,,,20,,,,,,,,,,,,,2,,,,,,local_training,,,,,,1753353483.4094136,,,,,,,,,3,,,
,,0.6,,,,,0.6,,,,"{9: 1.0, 13: 1.0, 10: 1.0, 6: 1.0, 19: 1.0, 14: 1.0, 12: 1.0, 5: 1.0, 8: 1.0, 3: 1.0, 0: 1.0, 2: 1.0}",,SamplingEvent,,,,,,,,,12,,,,,,,,,,2,"[9, 13, 10, 6, 19, 14, 12, 5, 8, 3, 0, 2]",,,,,resource_sampling,,,,,,1753353483.4096673,,20,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,2,,,,0,,resource_computation_time,,,,,16.967236757278442,1753353500.3767288,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,19,1,,,,"{0: {'norm': 3.2444076538085938, 'mean': 0.012552403844892979, 'std': 0.19076602160930634}, 1: {'norm': 3.228550672531128, 'mean': 0.01211383193731308, 'std': 0.1898581087589264}, 2: {'norm': 3.244065284729004, 'mean': 0.012107359245419502, 'std': 0.1907745599746704}, 3: {'norm': 3.235278844833374, 'mean': 0.012639541178941727, 'std': 0.1902211606502533}, 4: {'norm': 3.228550672531128, 'mean': 0.01211383193731308, 'std': 0.1898581087589264}, 5: {'norm': 3.2263998985290527, 'mean': 0.012311895377933979, 'std': 0.1897183507680893}, 6: {'norm': 3.2388038635253906, 'mean': 0.013425234705209732, 'std': 0.19037556648254395}, 7: {'norm': 3.228550672531128, 'mean': 0.01211383193731308, 'std': 0.1898581087589264}, 8: {'norm': 3.2096002101898193, 'mean': 0.012861126102507114, 'std': 0.1886897087097168}, 9: {'norm': 3.2320189476013184, 'mean': 0.01219952292740345, 'std': 0.1900573968887329}, 10: {'norm': 3.219259023666382, 'mean': 0.012055473402142525, 'std': 0.18931320309638977}, 11: {'norm': 3.228550672531128, 'mean': 0.01211383193731308, 'std': 0.1898581087589264}, 12: {'norm': 3.2347350120544434, 'mean': 0.012734869495034218, 'std': 0.19018270075321198}, 13: {'norm': 3.221734046936035, 'mean': 0.0123626459389925, 'std': 0.1894395500421524}, 14: {'norm': 3.2435946464538574, 'mean': 0.01341716106981039, 'std': 0.19065913558006287}, 15: {'norm': 3.228550672531128, 'mean': 0.01211383193731308, 'std': 0.1898581087589264}, 16: {'norm': 3.228550672531128, 'mean': 0.01211383193731308, 'std': 0.1898581087589264}, 17: {'norm': 3.228550672531128, 'mean': 0.01211383193731308, 'std': 0.1898581087589264}, 18: {'norm': 3.228550672531128, 'mean': 0.01211383193731308, 'std': 0.1898581087589264}, 19: {'norm': 3.2292282581329346, 'mean': 0.012380183674395084, 'std': 0.18988093733787537}}",,,,2,,,,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",parameter_transfer,,0,,,,1753353500.602565,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,20,,,,,,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,2,,,,,,aggregation,FedAvg,,,,,1753353500.602844,,,,,,,,,,,,
,,,,,,,,,,,,,AggregationCostEvent,,,,,,,,,,,,,,,,,,,2,,,,,,resource_aggregation_cost,,,,,,1753353500.8386474,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,20,,4.1148301049429366,,,,,2,,,,,,model_update,,,,,,1753353500.903212,,,,,,,,,,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
0.6428,,,,,,,,,,,,,EvaluationEvent,1.2441754348754883,"{'loss': 1.2441754348754883, 'accuracy': 0.6428}",,,,,,,,,,,,,,,,,2,,,,,,evaluation,,,,,,1753353501.4253063,,,,,,,,,,,,
,,,,,,,,40.0,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.03567936203187488,18.016017198562622,2,,12,,,,resource_resource_summary,,,,1.5013347665468852,,1753353501.4253788,,,20,101301600,0,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,,,,,,,,,,LocalTrainingEvent,,{},,,,20,,,,,,,,,,,,,3,,,,,,local_training,,,,,,1753353501.763433,,,,,,,,,3,,,
,,0.6,,,,,0.6,,,,"{2: 1.0, 19: 1.0, 16: 1.0, 11: 1.0, 17: 1.0, 5: 1.0, 14: 1.0, 4: 1.0, 8: 1.0, 0: 1.0, 7: 1.0, 1: 1.0}",,SamplingEvent,,,,,,,,,12,,,,,,,,,,3,"[2, 19, 16, 11, 17, 5, 14, 4, 8, 0, 7, 1]",,,,,resource_sampling,,,,,,1753353501.763695,,20,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,3,,,,0,,resource_computation_time,,,,,14.87929391860962,1753353516.642819,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,19,1,,,,"{0: {'norm': 3.2213871479034424, 'mean': 0.012914225459098816, 'std': 0.18938224017620087}, 1: {'norm': 3.2278177738189697, 'mean': 0.013234643265604973, 'std': 0.18973997235298157}, 2: {'norm': 3.2284295558929443, 'mean': 0.012639720924198627, 'std': 0.1898166686296463}, 3: {'norm': 3.227468967437744, 'mean': 0.012451594695448875, 'std': 0.18977238237857819}, 4: {'norm': 3.2366106510162354, 'mean': 0.01199309341609478, 'std': 0.19034165143966675}, 5: {'norm': 3.2268848419189453, 'mean': 0.012619114480912685, 'std': 0.1897268146276474}, 6: {'norm': 3.227468967437744, 'mean': 0.012451594695448875, 'std': 0.18977238237857819}, 7: {'norm': 3.2315566539764404, 'mean': 0.012600798159837723, 'std': 0.19000393152236938}, 8: {'norm': 3.221015214920044, 'mean': 0.012681500986218452, 'std': 0.18937601149082184}, 9: {'norm': 3.227468967437744, 'mean': 0.012451594695448875, 'std': 0.18977238237857819}, 10: {'norm': 3.227468967437744, 'mean': 0.012451594695448875, 'std': 0.18977238237857819}, 11: {'norm': 3.228156566619873, 'mean': 0.01256745494902134, 'std': 0.18980534374713898}, 12: {'norm': 3.227468967437744, 'mean': 0.012451594695448875, 'std': 0.18977238237857819}, 13: {'norm': 3.227468967437744, 'mean': 0.012451594695448875, 'std': 0.18977238237857819}, 14: {'norm': 3.228416919708252, 'mean': 0.012898646295070648, 'std': 0.189798504114151}, 15: {'norm': 3.227468967437744, 'mean': 0.012451594695448875, 'std': 0.18977238237857819}, 16: {'norm': 3.2244791984558105, 'mean': 0.013246973045170307, 'std': 0.18954190611839294}, 17: {'norm': 3.231934070587158, 'mean': 0.013083620928227901, 'std': 0.18999357521533966}, 18: {'norm': 3.227468967437744, 'mean': 0.012451594695448875, 'std': 0.18977238237857819}, 19: {'norm': 3.2334141731262207, 'mean': 0.012562715448439121, 'std': 0.19011615216732025}}",,,,3,,,,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",parameter_transfer,,0,,,,1753353516.869961,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,20,,,,,,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,3,,,,,,aggregation,FedAvg,,,,,1753353516.870292,,,,,,,,,,,,
,,,,,,,,,,,,,AggregationCostEvent,,,,,,,,,,,,,,,,,,,3,,,,,,resource_aggregation_cost,,,,,,1753353517.1089852,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,20,,3.0503887057815087,,,,,3,,,,,,model_update,,,,,,1753353517.1725094,,,,,,,,,,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
0.7497,,,,,,,,,,,,,EvaluationEvent,0.984433927154541,"{'loss': 0.984433927154541, 'accuracy': 0.7497}",,,,,,,,,,,,,,,,,3,,,,,,evaluation,,,,,,1753353517.695013,,,,,,,,,,,,
,,,,,,,,40.0,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.047057075833915316,15.931716680526733,3,,12,,,,resource_resource_summary,,,,1.327643056710561,,1753353517.6951091,,,20,101301600,0,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,,,,,,,,,,LocalTrainingEvent,,{},,,,20,,,,,,,,,,,,,4,,,,,,local_training,,,,,,1753353518.0489168,,,,,,,,,3,,,
,,0.6,,,,,0.6,,,,"{18: 1.0, 3: 1.0, 4: 1.0, 1: 1.0, 19: 1.0, 16: 1.0, 17: 1.0, 2: 1.0, 10: 1.0, 9: 1.0, 11: 1.0, 12: 1.0}",,SamplingEvent,,,,,,,,,12,,,,,,,,,,4,"[18, 3, 4, 1, 19, 16, 17, 2, 10, 9, 11, 12]",,,,,resource_sampling,,,,,,1753353518.0492516,,20,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,4,,,,0,,resource_computation_time,,,,,2.6486165523529053,1753353520.6976233,,,,,,,,,,,,
