activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1753353878.8147814,3
aggregation,,True,,,1,FedAvg,1753353897.1065857,
model_update,,,,6.453732289466407,1,,1753353897.4208739,
local_training,,,{},,2,,1753353898.285053,3
aggregation,,True,,,2,FedAvg,1753353910.6759534,
model_update,,,,3.806872541517354,2,,1753353910.9753916,
local_training,,,{},,3,,1753353911.844411,3
aggregation,,True,,,3,FedAvg,1753353925.5496676,
model_update,,,,3.8104415483782264,3,,1753353925.8370192,
local_training,,,{},,4,,1753353926.6459923,3
aggregation,,True,,,4,FedAvg,1753353930.314237,
model_update,,,,3.4635464489587933,4,,1753353930.6046097,
local_training,,,{},,5,,1753353931.492634,3
aggregation,,True,,,5,FedAvg,1753353935.132829,
model_update,,,,3.3672831187183783,5,,1753353935.4364822,
local_training,,,{},,6,,1753353936.2662199,3
aggregation,,True,,,6,FedAvg,1753353939.7693148,
model_update,,,,3.422656710424125,6,,1753353940.062991,
local_training,,,{},,7,,1753353940.9362364,3
aggregation,,True,,,7,FedAvg,1753353944.7189755,
model_update,,,,3.4554019534884928,7,,1753353945.0147016,
local_training,,,{},,8,,1753353945.9077828,3
aggregation,,True,,,8,FedAvg,1753353949.463721,
model_update,,,,3.4771315303679877,8,,1753353949.7529955,
local_training,,,{},,9,,1753353950.6345818,3
aggregation,,True,,,9,FedAvg,1753353954.7115347,
model_update,,,,3.4986486592203567,9,,1753353955.004004,
local_training,,,{},,10,,1753353955.8930194,3
aggregation,,True,,,10,FedAvg,1753353960.0142756,
model_update,,,,3.568645949262951,10,,1753353960.3080237,
