timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753349830.049689,1,5,"[0, 1, 2, 3, 4]",5,1.0,1.0,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,,
1753349857.4515338,2,5,"[0, 1, 2, 3, 4]",5,1.0,1.0,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,,
1753349865.599767,3,5,"[0, 1, 2, 3, 4]",5,1.0,1.0,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,,
1753349873.9856575,4,5,"[0, 1, 2, 3, 4]",5,1.0,1.0,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,,
1753349882.260304,5,5,"[0, 1, 2, 3, 4]",5,1.0,1.0,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,,
1753349890.3992257,6,5,"[0, 1, 2, 3, 4]",5,1.0,1.0,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,,
1753349899.2411656,7,5,"[0, 1, 2, 3, 4]",5,1.0,1.0,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,,
1753349907.9408162,8,5,"[0, 1, 2, 3, 4]",5,1.0,1.0,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,,
1753349917.3005195,9,5,"[0, 1, 2, 3, 4]",5,1.0,1.0,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,,
1753349926.7826374,10,5,"[0, 1, 2, 3, 4]",5,1.0,1.0,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}",,,
